"","entry_name","doi","compilation_doi","curator_name","curator_organization","curator_email","modification_date_y","modification_date_m","modification_date_d","contact_name","contact_email","contact_orcid_id","bibliographical_reference","metadata_note","associated_datasets","template_version","site_name","site_lat","site_long","site_datum","site_elevation","site_note","plot_name.x","pro_name","pro_note","pro_lat","pro_long","pro_elevation","pro_treatment","pro_treatment_note","pro_comp","pro_reps","pro_MAT","pro_MAP","pro_usda_soil_order","pro_soil_series","pro_soil_taxon","pro_soil_taxon_sys","pro_chrono_name","pro_soil_age","pro_soil_age_note","pro_MAST","pro_MASWC","pro_land_cover","pro_lc_phenology","pro_lc_leaf_type","pro_lc_photosyn_path","pro_veg_note","pro_NPP","pro_bedrock_depth","pro_complete","pro_depth_water","pro_thaw_depth","pro_parent_material","pro_parent_chem","pro_parent_material_notes","pro_2d_position","pro_aspect","pro_aspect_deg","pro_slope","pro_slope_shape","pro_drainage_class","pro_soc","pro_soc_sigma","pro_soc_depth","pro_bio1","pro_bio2","pro_bio3","pro_bio4","pro_bio5","pro_bio6","pro_bio7","pro_bio8","pro_bio9","pro_bio10","pro_bio11","pro_bio12","pro_bio13","pro_bio14","pro_bio15","pro_bio16","pro_bio17","pro_bio18","pro_bio19","pro_PET","pro_ISRIC_USDA_250m","pro_ISRIC_ORC_0cm","pro_ISRIC_ORC_5cm","pro_ISRIC_ORC_15cm","pro_ISRIC_ORC_30cm","pro_ISRIC_ORC_60cm","pro_ISRIC_ORC_100cm","plot_name.y","flx_name","flx_lat","flx_long","flx_obs_date_y","flx_obs_date_m","flx_obs_date_d","flx_notes","flx_pathway","flx_pathway_note","flx_analyte","flx_ecosystem_component","flx_method","flx_method_note","flx_storage_method","flx_duration","flx_duration_units","flx_keeling_plot","flx_atm_correction","flx_source_temp","flx_source_O2","flx_source_H2O","flx_rate","flx_rate_sd","flx_rate_units","flx_13c","flx_13c_sd","flx_rc_lab","flx_rc_lab_number","flx_rc_year","flx_14c","flx_14c_sigma","flx_14c_sd","flx_fraction_modern","flx_fraction_modern_sigma","flx_fraction_modern_sd","flx_dd14c"
"1","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_20071024_1",NA,NA,2007,10,24,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,37.73843,7.9,NA,1.04491866386771,NA,NA,-18.48657
"2","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2007524_1",NA,NA,2007,5,24,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,36.03891,5,NA,1.04320738468957,NA,NA,-20.18609
"3","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2007620_1",NA,NA,2007,6,20,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,42.60348,5.9,NA,1.04981737571907,NA,NA,-13.62152
"4","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2007725_1",NA,NA,2007,7,25,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,39.00682,5.6,NA,1.04619583000683,NA,NA,-17.21818
"5","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2007828_1",NA,NA,2007,8,28,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,40.98126,5.2,NA,1.04818393138869,NA,NA,-15.24374
"6","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2007927_1",NA,NA,2007,9,27,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,24.61709,6.9,NA,1.03170653577783,NA,NA,-31.60791
"7","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2008116_1",NA,NA,2008,11,6,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,41.55837,8.2,NA,1.04889191126065,NA,NA,-9.69163
"8","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2008618_1",NA,NA,2008,6,18,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,43.35809,4.3,NA,1.0507043029661,NA,NA,-7.89191
"9","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2008730_1",NA,NA,2008,7,30,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,17.7399,8.5,NA,1.02490573704211,NA,NA,-33.5101
"10","Atarashi-Andoh_2012","10.1016/j.agrformet.2011.09.015",NA,"Sabine Ersing, Jessica Brandt","University of Augsburg","sabine.ersing@gmx.de",2018,5,22,"Mariko Atarashi-Andoh","andoh.mariko@jaea.go.jp","https://orcid.org/0000-0002-3920-4671","Atarashi-Andoh, Mariko & Koarashi, Jun & Ishizuka, Shigehiro & Hirai, Keizo, 2012, Seasonal patterns and control factors of CO2 effluxes from surface litter, soil organic carbon, and root-derived carbon estimated using radiocarbon signatures, Agricultural and Forest Meteorology, 152, 149-158",NA,NA,NA,"Appi forest",40,140.56,"WGS84",825,"Iwate Prefecture, Japan",NA,"Appi forest","atmosphere",40,140.56,NA,"control",NA,NA,NA,6.1,1207,NA,NA,"Andosol","WRB",NA,1,NA,NA,NA,"forest",NA,NA,NA,"Fagus crenata",NA,NA,NA,NA,NA,NA,NA,"lava plateau
consisting of andesite lava, at the foot of the Hachimantai
volcanic chain, Allophanic volcanic ash soils are
widely distributed throughout northern Iwate Prefecture, Tephra fragments (Towada-a ash fall deposit: ca. 1000
BP) were observed at 15–20cm in the mineral soil",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,81,23,9190,231,-109,340,169,-27,169,-64,1735,207,99,25,610,329,610,351,452,"Humods",27.4,18.8,8.9,6.8,4.6,4.1,NA,"Appi forest_2008930_1",NA,NA,2008,9,30,NA,NA,NA,"CO2","atmosphere","chamber",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"JAEA",NA,NA,24.80227,8.9,NA,1.03201783270635,NA,NA,-26.44773
